Run,Shear,Scale,Translate,Degrees,Box(P),Recall,mAP50,mAP50-95
grid_shear7.5_scale0.0_trans0.1_deg0.0,7.5,0.0,0.1,0.0,0.6668812903977459,0.8509803921568627,0.7740433620757518,0.3154676932123224
grid_shear7.5_scale0.0_trans0.1_deg5.0,7.5,0.0,0.1,5.0,0.6386094760787882,0.7784313725490196,0.7556719646847446,0.3199729605401405
grid_shear7.5_scale0.0_trans0.1_deg10.0,7.5,0.0,0.1,10.0,0.7436120855816655,0.8450980392156863,0.822036094998945,0.34492659805604386
grid_shear7.5_scale0.0_trans0.1_deg15.0,7.5,0.0,0.1,15.0,0.6293045317087121,0.8355015692640351,0.7633031546011129,0.3240774253382253
grid_shear7.5_scale0.03_trans0.0_deg0.0,7.5,0.03,0.0,0.0,0.6784982410318756,0.8549019607843137,0.7679548888397094,0.31262662250174234
grid_shear7.5_scale0.03_trans0.0_deg5.0,7.5,0.03,0.0,5.0,0.6791157527816098,0.8294117647058824,0.7774771272332742,0.31462840045864227
grid_shear7.5_scale0.03_trans0.0_deg10.0,7.5,0.03,0.0,10.0,0.7142745834856238,0.8528947326615832,0.8114070956230442,0.33495704387995334
grid_shear7.5_scale0.03_trans0.0_deg15.0,7.5,0.03,0.0,15.0,0.704005793406686,0.8117647058823529,0.808404274496197,0.3336697044490657
grid_shear7.5_scale0.03_trans0.03_deg0.0,7.5,0.03,0.03,0.0,0.6644471443692884,0.8117647058823529,0.7605388861249114,0.322183185494818
grid_shear7.5_scale0.03_trans0.03_deg5.0,7.5,0.03,0.03,5.0,0.6195948040278066,0.8725490196078431,0.7507089349832438,0.31985289891172614
grid_shear7.5_scale0.03_trans0.03_deg10.0,7.5,0.03,0.03,10.0,0.6492462511733508,0.8529132011967544,0.7659924249453034,0.32559673336354233
grid_shear7.5_scale0.03_trans0.03_deg15.0,7.5,0.03,0.03,15.0,0.7029779887550178,0.8647058823529412,0.7707441430641504,0.33303892511942756
grid_shear7.5_scale0.03_trans0.06_deg0.0,7.5,0.03,0.06,0.0,0.6526059884787607,0.8137254901960784,0.7506027522115937,0.3087679066955488
grid_shear7.5_scale0.03_trans0.06_deg5.0,7.5,0.03,0.06,5.0,0.6687256204350612,0.8333333333333334,0.7845251238364291,0.324635832515789
grid_shear7.5_scale0.03_trans0.06_deg10.0,7.5,0.03,0.06,10.0,0.6962104536537038,0.840310037351045,0.7797380473461704,0.33256941378125515
grid_shear7.5_scale0.03_trans0.06_deg15.0,7.5,0.03,0.06,15.0,0.7481852724031235,0.8470588235294118,0.8390245131264625,0.3536278437708557
grid_shear7.5_scale0.03_trans0.1_deg0.0,7.5,0.03,0.1,0.0,0.633268885863379,0.8647058823529412,0.7806265006352219,0.3141909999150115
grid_shear7.5_scale0.03_trans0.1_deg5.0,7.5,0.03,0.1,5.0,0.6586881553903411,0.8098039215686275,0.771801604112506,0.31763195486258755
grid_shear7.5_scale0.03_trans0.1_deg10.0,7.5,0.03,0.1,10.0,0.6826445845740927,0.8549019607843137,0.7976002830916886,0.33000235445975556
grid_shear7.5_scale0.03_trans0.1_deg15.0,7.5,0.03,0.1,15.0,0.759518168053801,0.8372549019607843,0.8269072014955994,0.34914190430166214
grid_shear7.5_scale0.06_trans0.0_deg0.0,7.5,0.06,0.0,0.0,0.723201542041347,0.8313725490196079,0.8039541884931835,0.334778440473318
grid_shear7.5_scale0.06_trans0.0_deg5.0,7.5,0.06,0.0,5.0,0.6764136294450872,0.7980392156862746,0.7859717534312138,0.3274822764167656
grid_shear7.5_scale0.06_trans0.0_deg10.0,7.5,0.06,0.0,10.0,0.7296862537937047,0.8151151348728322,0.796049538019817,0.34021044354017316
grid_shear7.5_scale0.06_trans0.0_deg15.0,7.5,0.06,0.0,15.0,0.7534550273215088,0.8352941176470589,0.8513055503637511,0.37078095242900305
grid_shear7.5_scale0.06_trans0.03_deg0.0,7.5,0.06,0.03,0.0,0.7301298060744501,0.8490196078431372,0.8187174674967538,0.3281480208855666
grid_shear7.5_scale0.06_trans0.03_deg5.0,7.5,0.06,0.03,5.0,0.7250927525896227,0.8223084322006202,0.7949210684218793,0.3210162753105445
grid_shear7.5_scale0.06_trans0.03_deg10.0,7.5,0.06,0.03,10.0,0.6140401795533075,0.8588235294117647,0.7579912281670358,0.3176336964975196
grid_shear7.5_scale0.06_trans0.03_deg15.0,7.5,0.06,0.03,15.0,0.718123869509993,0.8342338045638146,0.8363655456976717,0.34717869440914045
grid_shear7.5_scale0.06_trans0.06_deg0.0,7.5,0.06,0.06,0.0,0.7247049507255127,0.8470588235294118,0.7976893208934357,0.3199722899659502
grid_shear7.5_scale0.06_trans0.06_deg5.0,7.5,0.06,0.06,5.0,0.6894683940557769,0.8588235294117647,0.7995057890811283,0.32588701756268623
grid_shear7.5_scale0.06_trans0.06_deg10.0,7.5,0.06,0.06,10.0,0.7585762640138191,0.8235294117647058,0.8173296208835965,0.34654427465149784
grid_shear7.5_scale0.06_trans0.06_deg15.0,7.5,0.06,0.06,15.0,0.7257681381918881,0.8862745098039215,0.813040370247084,0.3452691969583699
grid_shear7.5_scale0.06_trans0.1_deg0.0,7.5,0.06,0.1,0.0,0.6569791572860173,0.8588235294117647,0.7633617937335025,0.30784378091777004
grid_shear7.5_scale0.06_trans0.1_deg5.0,7.5,0.06,0.1,5.0,0.6685141266186352,0.8333333333333334,0.7906909917239212,0.33427968645536693
grid_shear7.5_scale0.06_trans0.1_deg10.0,7.5,0.06,0.1,10.0,0.7756918682562418,0.8470588235294118,0.8560555914524142,0.336556814306952
grid_shear7.5_scale0.06_trans0.1_deg15.0,7.5,0.06,0.1,15.0,0.7914527217630423,0.8627450980392157,0.874512545536479,0.3629531650030731
grid_shear7.5_scale0.1_trans0.0_deg0.0,7.5,0.1,0.0,0.0,0.8532637391060843,0.8725490196078431,0.896287371012703,0.36674442698034615
grid_shear7.5_scale0.1_trans0.0_deg5.0,7.5,0.1,0.0,5.0,0.7194782670629697,0.8146976390111689,0.8057739281800329,0.3423206552187244
grid_shear7.5_scale0.1_trans0.0_deg10.0,7.5,0.1,0.0,10.0,0.7767210523483543,0.8509803921568627,0.835553464056124,0.36482775023963687
grid_shear7.5_scale0.1_trans0.0_deg15.0,7.5,0.1,0.0,15.0,0.7538335342799599,0.8627450980392157,0.8498906743250286,0.35768697101879715
